#	Id	Name	Icon	BuffType	LifeTime	OverlayType	MaxOverlayNum	DestroyType	Result	ResultAttrID	ResultInterval	EffectID	EffectBind	ChangeModelID	ChangeModelScale	Desc
201001	天生神力	201001	1	6	2	1	1	1	101	0	0	3	0	1	天生神力，可天生神力
201002	守护天使之力	201002	1	6	2	1	1	1	102	0	68016	3	0	1	强健体魄，可强健体魄
201003	护体	201003	1	6	2	1	1	1	103	0	0	3	0	1	护体，可护体
201004	嗜血	201004	1	6	2	1	1	1	104	0	68007	3	0	1	嗜血，可嗜血
201005	英勇	201005	1	6	2	1	1	1	105	0	68007	3	0	1	英勇，可英勇
201006	迅捷	201006	1	6	2	1	1	1	106	0	68011	3	0	1	迅捷，可迅捷
201007	灼烧	201007	2	12	2	1	1	4	107	2	68012	3	0	1	灼烧，可灼烧
201008	中毒	201008	2	12	2	1	1	4	108	2	68003	3	0	1	中毒，可中毒
201009	腐烂	201009	2	12	2	1	1	4	109	2	0	3	0	1	腐烂，可腐烂
201010	流血	201010	2	12	2	1	1	4	110	2	0	3	0	1	流血，可流血
201011	铜墙铁壁	201011	1	6	2	1	1	1	111	0	68001	3	0	1	铜墙铁壁，可铜墙铁壁
201012	威慑	201012	1	6	2	1	1	1	112	0	0	3	0	1	威慑，可威慑
201013	愈合	201013	1	12	1	5	1	3	113	2	68006	3	0	1	愈合，可愈合
201014	宁静	201014	1	12	1	5	1	3	114	2	68006	3	0	1	宁静，可宁静
201015	蛮力	201015	1	6	1	5	1	1	115	0	0	3	0	1	蛮力，可蛮力
201016	恶魔变身	201016	1	30	2	1	1	1	116	0	0	3	0	1	恶魔变身，可恶魔变身
201017	天神下凡	201017	1	30	2	1	1	1	117	0	0	3	0	1	天神下凡，可天神下凡
201018	绿巨人	201018	1	30	2	1	1	1	118	0	0	3	0	1	绿巨人，可绿巨人
201019	隐身	201019	1	-1	3	1	1	9	0	0	0	3	0	1	隐身，可隐身
201020	无敌	201020	1	6	0	1	1	16	0	0	0	3	0	1	无敌，可无敌
201021	恐惧	201021	2	4	0	1	1	18	0	0	0	3	0	1	恐惧，可恐惧
201022	定身	201022	2	4	0	1	1	8	0	0	68004	3	0	1	定身，可定身
201023	沉默	201023	2	4	0	1	1	12	0	0	0	3	0	1	沉默，可沉默
201024	昏迷	201024	2	4	0	1	1	7	0	0	68010	2	0	1	昏迷，可昏迷
201025	冰冻	201025	2	4	0	1	1	10	0	0	68004	3	0	1	冰冻，可冰冻
201026	致盲	201026	2	4	0	1	1	11	0	0	0	2	0	1	致盲，可致盲
201027	狂暴	201027	1	-1	2	1	3	15	0	0	0	3	0	1	狂暴，可狂暴
201028	虚弱	201028	2	5	2	1	1	2	119	0	68009	3	0	1	虚弱
201029	魔法罩	201029	1	10	2	1	1	14	0	0	68002	3	0	1	魔法罩
201030	死神降临	201030	1	30	2	1	1	1	121	0	68008	3	0	1	死神降临
201031	烈焰之王	201031	1	30	2	1	1	1	122	0	68005	3	0	1	烈焰之王
201032	暴怒	201032	1	30	2	1	1	1	123	0	0	3	0	1	暴怒
201033	僵硬	201033	2	10	2	1	1	2	124	0	0	3	0	1	僵硬
201034	末日诅咒	201034	2	30	2	1	1	4	125	3	0	3	0	1	末日诅咒
201035	虚空散射	201035	2	10	2	1	1	19	126	0	0	3	0	1	虚空散射
201036	变羊术	201036	2	10	0	1	1	6	0	0	0	3	0	1	变羊术
