#	Id	Name	Desc	Attr1	Value1	ValueType1	Attr2	Value2	ValueType2	Attr3	Value3	ValueType3
101	天生神力	增加10%攻击力	5	1000	1	0	0	0	0	0	0
102	强健体魄	增加10%最大生命值	1	1000	1	5	2500	1	0	0	0
103	护体	增加10%防御	6	1000	1	0	0	0	0	0	0
104	嗜血	增加30%攻击,15%爆击,15%爆击伤害	5	3000	1	8	15	0	9	15	0
105	英勇	增加15%攻击,30%爆击,30%爆击伤害	5	1500	1	8	300	0	9	30	0
106	迅捷	提高30%移动速度	7	3000	1	0	0	0	0	0	0
107	灼烧	每2秒造成512点火焰伤害	2	43	0	0	0	0	0	0	0
108	中毒	每2秒造成485点自然伤害	2	56	0	0	0	0	0	0	0
109	腐烂	每2秒造成485点暗影伤害	2	62	0	0	0	0	0	0	0
110	流血	每2秒造成733点暗影伤害	2	74	0	0	0	0	0	0	0
111	铜墙铁壁	提高20%防御力	6	2000	1	0	0	0	0	0	0
112	威慑	提高100%闪避	13	5000	1	0	0	0	0	0	0
113	愈合	每2秒治疗3%生命值	2	300	2	0	0	0	0	0	0
114	宁静	每3秒治疗2%生命值	2	300	2	0	0	0	0	0	0
115	蛮力	提高15%攻击力	5	1500	1	0	0	0	0	0	0
116	恶魔变身	变身一个恶魔，提高30%攻击力	5	3000	1	0	0	0	0	0	0
117	天神下凡	变身一个天神，提高30%攻击力	5	3000	1	0	0	0	0	0	0
118	绿巨人	变身一个绿巨人，提高30%攻击力	1	3000	1	0	0	0	0	0	0
119	虚弱	虚弱敌人，降低30%防御力	6	3000	1	0	0	0	0	0	0
120	白鹤亮翅	增加5%吸血	10	5	0	0	0	0	0	0	0
121	死神降临	提高10%攻击力	5	1000	1	0	0	0	0	0	0
122	烈焰之王	提高550攻击	5	550	0	0	0	0	0	0	0
123	暴怒	提高50%爆击率	8	50	0	0	0	0	0	0	0
124	僵硬	减少30%移动速度	7	3000	1	0	0	0	0	0	0
125	末日诅咒	每3秒造成3%伤害	2	1000	2	0	0	0	0	0	0
