#	Id	Group	AssetName
10001	Default	Model/RoleCreate/Pose_Warrior
10002	Default	Model/RoleCreate/Pose_Master
10003	Default	Model/RoleCreate/Pose_Shooter
20001	Level	Level/Barrier_01
20002	Level	Level/Portal_01
20003	Level	Level/Mine/Mine_01
31001	Effect	Effect/RoleCreate/Warrior/TrailOrder_Sword
31002	Effect	Effect/RoleCreate/Warrior/Ground_Explode
32001	Effect	Effect/RoleCreate/Master/Ice_Explode
32002	Effect	Effect/RoleCreate/Master/Ice_Crys
33001	Effect	Effect/RoleCreate/Shooter/Ice_Circle
33002	Effect	Effect/RoleCreate/Shooter/Ice_FengHuang
61001	Effect	Effect/1/61001
61002	Effect	Effect/1/61002
61003	Effect	Effect/1/61003
61004	Effect	Effect/1/61004
61005	Effect	Effect/1/61005
61006	Effect	Effect/1/61006
61007	Effect	Effect/1/61007
61008	Effect	Effect/1/61008
61009	Effect	Effect/1/61009
61010	Effect	Effect/1/61010
61011	Effect	Effect/1/61011
61012	Effect	Effect/1/61012
61013	Effect	Effect/1/61013
61014	Effect	Effect/1/61014
61015	Effect	Effect/1/61015
61016	Effect	Effect/1/61016
61017	Effect	Effect/1/61017
61018	Effect	Effect/1/61018
61019	Effect	Effect/1/61019
61020	Effect	Effect/1/61020
61021	Effect	Effect/1/61021
61022	Effect	Effect/1/61022
61023	Effect	Effect/1/61023
61024	Effect	Effect/1/61024
61025	Effect	Effect/1/61025
61026	Effect	Effect/1/61026
61027	Effect	Effect/1/61027
61028	Effect	Effect/1/61028
61029	Effect	Effect/1/61029
61030	Effect	Effect/1/61030
61031	Effect	Effect/1/61031
61032	Effect	Effect/1/61032
61033	Effect	Effect/1/61033
61034	Effect	Effect/1/61034
61035	Effect	Effect/1/61035
61036	Effect	Effect/1/61036
61037	Effect	Effect/1/61037
61038	Effect	Effect/1/61038
61039	Effect	Effect/1/61039
61040	Effect	Effect/1/61040
61041	Effect	Effect/1/61041
61042	Effect	Effect/1/61042
61043	Effect	Effect/1/61043
61044	Effect	Effect/1/61044
61045	Effect	Effect/1/61045
61046	Effect	Effect/1/61046
61047	Effect	Effect/1/61047
61048	Effect	Effect/1/61048
61049	Effect	Effect/1/61049
61050	Effect	Effect/1/61050
61051	Effect	Effect/1/61051
61052	Effect	Effect/1/61052
61053	Effect	Effect/1/61053
61054	Effect	Effect/1/61054
61055	Effect	Effect/1/61055
61056	Effect	Effect/1/61056
61057	Effect	Effect/1/61057
61058	Effect	Effect/1/61058
61059	Effect	Effect/1/61059
61060	Effect	Effect/1/61060
61061	Effect	Effect/1/61061
61062	Effect	Effect/1/61062
61063	Effect	Effect/1/61063
61064	Effect	Effect/1/61064
61065	Effect	Effect/1/61065
61066	Effect	Effect/1/61066
61067	Effect	Effect/1/61067
61068	Effect	Effect/1/61068
61069	Effect	Effect/1/61069
61070	Effect	Effect/1/61070
61071	Effect	Effect/1/61071
61072	Effect	Effect/1/61072
61073	Effect	Effect/1/61073
61074	Effect	Effect/1/61074
61075	Effect	Effect/1/61075
61076	Effect	Effect/1/61076
61077	Effect	Effect/1/61077
61078	Effect	Effect/1/61078
61079	Effect	Effect/1/61079
61080	Effect	Effect/1/61080
61081	Effect	Effect/1/61081
61082	Effect	Effect/1/61082
61083	Effect	Effect/1/61083
61084	Effect	Effect/1/61084
61085	Effect	Effect/1/61085
61086	Effect	Effect/1/61086
61087	Effect	Effect/1/61087
61088	Effect	Effect/1/61088
61089	Effect	Effect/1/61089
61090	Effect	Effect/1/61090
61091	Effect	Effect/1/61091
61092	Effect	Effect/1/61092
61093	Effect	Effect/1/61093
61094	Effect	Effect/1/61094
61095	Effect	Effect/1/61095
61096	Effect	Effect/1/61096
61097	Effect	Effect/1/61097
61098	Effect	Effect/1/61098
61099	Effect	Effect/1/61099
61100	Effect	Effect/1/61100
62001	Effect	Effect/2/62001
62002	Effect	Effect/2/62002
62003	Effect	Effect/2/62003
62004	Effect	Effect/2/62004
62005	Effect	Effect/2/62005
62006	Effect	Effect/2/62006
62007	Effect	Effect/2/62007
62008	Effect	Effect/2/62008
62009	Effect	Effect/2/62009
62010	Effect	Effect/2/62010
62011	Effect	Effect/2/62011
62012	Effect	Effect/2/62012
62013	Effect	Effect/2/62013
62014	Effect	Effect/2/62014
62015	Effect	Effect/2/62015
62016	Effect	Effect/2/62016
62017	Effect	Effect/2/62017
62018	Effect	Effect/2/62018
62019	Effect	Effect/2/62019
62020	Effect	Effect/2/62020
62021	Effect	Effect/2/62021
62022	Effect	Effect/2/62022
62023	Effect	Effect/2/62023
62024	Effect	Effect/2/62024
62025	Effect	Effect/2/62025
62026	Effect	Effect/2/62026
62027	Effect	Effect/2/62027
62028	Effect	Effect/2/62028
62029	Effect	Effect/2/62029
62030	Effect	Effect/2/62030
62031	Effect	Effect/2/62031
62032	Effect	Effect/2/62032
62033	Effect	Effect/2/62033
62034	Effect	Effect/2/62034
62035	Effect	Effect/2/62035
62036	Effect	Effect/2/62036
62037	Effect	Effect/2/62037
62038	Effect	Effect/2/62038
62039	Effect	Effect/2/62039
62040	Effect	Effect/2/62040
62041	Effect	Effect/2/62041
62042	Effect	Effect/2/62042
62043	Effect	Effect/2/62043
62044	Effect	Effect/2/62044
62045	Effect	Effect/2/62045
62046	Effect	Effect/2/62046
62047	Effect	Effect/2/62047
62048	Effect	Effect/2/62048
62049	Effect	Effect/2/62049
62050	Effect	Effect/2/62050
62051	Effect	Effect/2/62051
62052	Effect	Effect/2/62052
62053	Effect	Effect/2/62053
62054	Effect	Effect/2/62054
62055	Effect	Effect/2/62055
62056	Effect	Effect/2/62056
62057	Effect	Effect/2/62057
62058	Effect	Effect/2/62058
62059	Effect	Effect/2/62059
62060	Effect	Effect/2/62060
62061	Effect	Effect/2/62061
62062	Effect	Effect/2/62062
62063	Effect	Effect/2/62063
62064	Effect	Effect/2/62064
62065	Effect	Effect/2/62065
62066	Effect	Effect/2/62066
62067	Effect	Effect/2/62067
62068	Effect	Effect/2/62068
62069	Effect	Effect/2/62069
62070	Effect	Effect/2/62070
62071	Effect	Effect/2/62071
62072	Effect	Effect/2/62072
62073	Effect	Effect/2/62073
62074	Effect	Effect/2/62074
62075	Effect	Effect/2/62075
62076	Effect	Effect/2/62076
62077	Effect	Effect/2/62077
62078	Effect	Effect/2/62078
62079	Effect	Effect/2/62079
62080	Effect	Effect/2/62080
62081	Effect	Effect/2/62081
62082	Effect	Effect/2/62082
62083	Effect	Effect/2/62083
62084	Effect	Effect/2/62084
62085	Effect	Effect/2/62085
62086	Effect	Effect/2/62086
62087	Effect	Effect/2/62087
62088	Effect	Effect/2/62088
62089	Effect	Effect/2/62089
62090	Effect	Effect/2/62090
62091	Effect	Effect/2/62091
62092	Effect	Effect/2/62092
62093	Effect	Effect/2/62093
62094	Effect	Effect/2/62094
62095	Effect	Effect/2/62095
62096	Effect	Effect/2/62096
62097	Effect	Effect/2/62097
62098	Effect	Effect/2/62098
62099	Effect	Effect/2/62099
62100	Effect	Effect/2/62100
63001	Effect	Effect/3/63001
63002	Effect	Effect/3/63002
63003	Effect	Effect/3/63003
63004	Effect	Effect/3/63004
63005	Effect	Effect/3/63005
63006	Effect	Effect/3/63006
63007	Effect	Effect/3/63007
63008	Effect	Effect/3/63008
63009	Effect	Effect/3/63009
63010	Effect	Effect/3/63010
63011	Effect	Effect/3/63011
63012	Effect	Effect/3/63012
63013	Effect	Effect/3/63013
63014	Effect	Effect/3/63014
63015	Effect	Effect/3/63015
63016	Effect	Effect/3/63016
63017	Effect	Effect/3/63017
63018	Effect	Effect/3/63018
63019	Effect	Effect/3/63019
63020	Effect	Effect/3/63020
63021	Effect	Effect/3/63021
63022	Effect	Effect/3/63022
63023	Effect	Effect/3/63023
63024	Effect	Effect/3/63024
63025	Effect	Effect/3/63025
63026	Effect	Effect/3/63026
63027	Effect	Effect/3/63027
63028	Effect	Effect/3/63028
63029	Effect	Effect/3/63029
63030	Effect	Effect/3/63030
63031	Effect	Effect/3/63031
63032	Effect	Effect/3/63032
63033	Effect	Effect/3/63033
63034	Effect	Effect/3/63034
63035	Effect	Effect/3/63035
63036	Effect	Effect/3/63036
63037	Effect	Effect/3/63037
63038	Effect	Effect/3/63038
63039	Effect	Effect/3/63039
63040	Effect	Effect/3/63040
63041	Effect	Effect/3/63041
63042	Effect	Effect/3/63042
63043	Effect	Effect/3/63043
63044	Effect	Effect/3/63044
63045	Effect	Effect/3/63045
63046	Effect	Effect/3/63046
63047	Effect	Effect/3/63047
63048	Effect	Effect/3/63048
63049	Effect	Effect/3/63049
63050	Effect	Effect/3/63050
63051	Effect	Effect/3/63051
63052	Effect	Effect/3/63052
63053	Effect	Effect/3/63053
63054	Effect	Effect/3/63054
63055	Effect	Effect/3/63055
63056	Effect	Effect/3/63056
63057	Effect	Effect/3/63057
63058	Effect	Effect/3/63058
63059	Effect	Effect/3/63059
63060	Effect	Effect/3/63060
63061	Effect	Effect/3/63061
63062	Effect	Effect/3/63062
63063	Effect	Effect/3/63063
63064	Effect	Effect/3/63064
63065	Effect	Effect/3/63065
63066	Effect	Effect/3/63066
63067	Effect	Effect/3/63067
63068	Effect	Effect/3/63068
63069	Effect	Effect/3/63069
63070	Effect	Effect/3/63070
63071	Effect	Effect/3/63071
63072	Effect	Effect/3/63072
63073	Effect	Effect/3/63073
63074	Effect	Effect/3/63074
63075	Effect	Effect/3/63075
63076	Effect	Effect/3/63076
