#	Id	RequireExp	LHP	ATK	DEF	CRI	BUR	LMP	VAM	HIT	DOG	BAF	NextLevel
1	250	1050	35	15	5	50	1000	2	90	1	1	2
2	275	1110	38	16	5	50	1000	2	90	1	1	3
3	303	1170	41	17	6	50	1000	2	90	1	1	4
4	333	1230	44	18	6	50	1000	2	90	2	2	5
5	366	1290	47	19	6	50	1000	2	90	2	2	6
6	403	1350	50	20	7	50	1000	2	90	2	2	7
7	443	1410	53	21	7	50	1000	2	90	2	2	8
8	487	1470	56	22	7	50	1000	2	90	2	2	9
9	536	1008	59	23	7	50	1000	2	90	3	3	10
10	589	1050	62	24	8	50	1000	2	90	3	3	11
11	648	1110	65	25	8	50	1000	2	90	3	3	12
12	713	1170	68	26	8	50	1000	2	90	3	3	13
13	785	1230	71	27	9	50	1000	2	90	3	3	14
14	863	1290	74	28	9	50	1000	2	90	4	4	15
15	949	1350	77	29	9	50	1000	2	90	4	4	16
16	1044	1410	80	30	10	50	1000	2	90	4	4	17
17	1149	1470	83	31	10	50	1000	2	90	4	4	18
18	1264	1530	86	32	10	50	1000	2	90	4	4	19
19	1390	1590	89	33	10	50	1000	2	90	5	5	20
20	1529	1650	92	34	11	50	1000	2	90	5	5	21
21	1682	1710	95	35	11	50	1000	2	90	5	5	22
22	1850	1770	98	36	11	50	1000	2	90	5	5	23
23	2035	1830	101	37	12	50	1000	2	90	5	5	24
24	2239	1890	104	38	12	50	1000	2	90	6	6	25
25	2462	1950	107	39	12	50	1000	2	90	6	6	26
26	2709	2010	110	40	13	50	1000	2	90	6	6	27
27	2980	2070	113	41	13	50	1000	2	90	6	6	28
28	3277	2130	116	42	13	50	1000	2	90	6	6	29
29	3605	2190	119	43	13	50	1000	2	90	7	7	30
30	3966	2250	122	44	14	50	1000	2	90	7	7	31
31	4362	2310	125	45	14	50	1000	2	90	7	7	32
32	4799	2370	128	46	14	50	1000	2	90	7	7	33
33	5278	2430	131	47	15	50	1000	2	90	7	7	34
34	5806	2490	134	48	15	50	1000	2	90	8	8	35
35	6387	2550	137	49	15	50	1000	2	90	8	8	36
36	7026	2610	140	50	16	50	1000	2	90	8	8	37
37	7728	2670	143	51	16	50	1000	2	90	8	8	38
38	8501	2730	146	52	16	50	1000	2	90	8	8	39
39	9351	2790	149	53	16	50	1000	2	90	9	9	40
40	10286	2850	152	54	17	50	1000	2	90	9	9	41
41	11315	2910	155	55	17	50	1000	2	90	9	9	42
42	12446	2970	158	56	17	50	1000	2	90	9	9	43
43	13691	3030	161	57	18	50	1000	2	90	9	9	44
44	15060	3090	164	58	18	50	1000	2	90	10	10	45
45	16566	3150	167	59	18	50	1000	2	90	10	10	46
46	18223	3210	170	60	19	50	1000	2	90	10	10	47
47	20045	3270	173	61	19	50	1000	2	90	10	10	48
48	22049	3330	176	62	19	50	1000	2	90	10	10	49
49	24254	3390	179	63	19	50	1000	2	90	11	11	50
50	26680	3450	182	64	20	50	1000	2	90	11	11	51
51	29348	3510	185	65	20	50	1000	2	90	11	11	52
52	32282	3570	188	66	20	50	1000	2	90	11	11	53
53	35511	3630	191	67	21	50	1000	2	90	11	11	54
54	39062	3690	194	68	21	50	1000	2	90	12	12	55
55	42968	3750	197	69	21	50	1000	2	90	12	12	56
56	47265	3810	200	70	22	50	1000	2	90	12	12	57
57	51991	3870	203	71	22	50	1000	2	90	12	12	58
58	57190	3930	206	72	22	50	1000	2	90	12	12	59
59	62909	3990	209	73	22	50	1000	2	90	13	13	60
60	69200	4050	212	74	23	50	1000	2	90	13	13	61
