#	Id	Scene	Name	LevelType	LevelRequest	Icon	Background	CostActionId	CostActionNum	GetMoneyId	GetMoneyRatio	GetExpRatio	FirstAwardId	AwardId	DropBoxAwardId	SceneId	BattleTimes	UnlockLevel	FightValue	StarCondition1	StarValue1	StarCondition2	StarValue2	StarCondition3	StarValue3	Desc
10001	4	暴风要塞	1	1	1	1	101	5	1	100	100	340015	210033	440015	40015	10	61	18000	0	60	1	40	2	180	这里是暴风要塞,自古以来没有一个人能从这里活着出去
10002	4	黑色沼泽	1	5	3	3	101	5	1	100	100	340016	210034	440016	40016	5	61	18500	0	60	1	40	2	180	这里是黑色沼泽,自古以来没有一个人能从这里活着出去
10003	4	悲伤沼泽	1	10	4	2	101	5	1	100	100	340017	210035	440017	40017	10	61	19000	0	60	1	40	2	180	这里是悲伤沼泽,自古以来没有一个人能从这里活着出去
10004	4	诅咒之地	1	15	2	2	101	5	1	100	100	340018	210036	440018	40018	10	61	19500	0	60	1	40	2	180	这里是诅咒之地,自古以来没有一个人能从这里活着出去
10005	4	黑暗之门	1	20	3	3	101	5	1	100	100	340019	210037	440019	40019	5	61	20000	0	60	1	40	2	180	这里是黑暗之门,自古以来没有一个人能从这里活着出去
10006	4	月光湿地	1	25	2	2	101	5	1	100	100	340020	210038	440020	40020	5	61	20500	0	60	1	40	2	180	这里是月光湿地,自古以来没有一个人能从这里活着出去
10007	4	永恒之井	1	30	2	1	101	5	1	100	100	340021	210039	440021	40021	10	61	21000	0	60	1	40	2	180	这里是永恒之井,自古以来没有一个人能从这里活着出去
10008	4	红岩台地	1	35	3	2	101	5	1	100	100	340022	210041	440022	40022	10	61	21500	0	60	1	40	2	180	这里是红岩台地,自古以来没有一个人能从这里活着出去
10009	4	荒漠之地	1	40	4	3	101	5	1	100	100	340023	210042	440023	40023	5	61	22000	0	60	1	40	2	180	这里是荒漠之地,自古以来没有一个人能从这里活着出去
10010	4	雷霆峭壁	1	45	4	2	101	5	1	100	100	340024	210043	440024	40024	10	61	22500	0	60	1	40	2	180	这里是雷霆峭壁,自古以来没有一个人能从这里活着出去
