#	Id	RoleName
1001	张学友
1002	陈奕迅
1003	白子画
1004	东方玉卿
1005	霓漫天
1006	陆无双
1007	武神
1008	洪玄公
1009	普罗米修斯
1010	皇家宰相
1011	刀锋领主
1012	塔亚克
1013	黑暗女王
1014	惧之煞
1015	疑之煞
1016	怒之煞
1017	黑暗魔君
1018	亚拉贡
1019	莱戈拉斯
1020	风吻精灵
1021	黑暗魔像
1022	魔古山宝库
1023	法拉墨
1024	法拉利
1025	路虎
1026	宾利
1027	外星人
1028	兰博基尼
1029	兰瑟杜伊
1030	永春台
1031	心能魔像
1032	黑索
1033	加拉隆
1034	比尔博
1035	聂风
1036	步惊云
1037	杀阡陌
1038	秦霜
1039	烈行云
1040	无垢上仙
1041	夏紫薰
1042	檀梵上仙
1043	东华上仙
1044	摩严
1045	笙箫默
1046	何以琛
1047	赵默笙
1048	拉格拉罗斯
1049	鹿盔
1050	地狱咆哮
1051	魔多
1052	死亡骑士
1053	洛萨
1054	燃烧之刃
1055	冰霜之刃
1056	胡一刀
1057	苗人凤
1058	胡斐
1059	程灵素
1060	万磁王
1061	凤凰女
1062	镭射眼
1063	云端
1064	杨过
1065	程英
1066	郭芙
1067	郭襄
1068	洪七公
1069	欧阳锋
1070	陆雪琪
1071	张小凡
1072	碧瑶
1073	曾书书
