#	Id	AssetName	Priority	Loop	Volume	SpatialBlend	MaxDistance
10001	Sound/Buff_Common	0	False	1	0	100
10002	Sound/Buff_Boy	0	False	1	0	100
10003	Sound/Buff_Girl	0	False	1	0	100
10004	Sound/sound_attack1_shengwushi_01	1	False	1	0	100
10005	Sound/sound_attack1_shengwushi_02	1	False	1	0	100
10006	Sound/sound_attack1_shengwushi_03	1	False	1	0	100
10007	Sound/sound_attack1_shengwushi_04	1	False	1	0	100
10008	Sound/sound_roar_shengwushi_01	1	False	1	0	100
10009	Sound/sound_roar_shengwushi_02	1	False	1	0	100
10010	Sound/sound_explosion	1	False	1	0	100
10011	Sound/sound_skill_shengwushi_shenweizhan	1	False	1	0	100
10012	Sound/sound_skill_shengwushi_shouhutianshi1	1	False	1	0	100
10013	Sound/sound_skill_shengwushi_shouhutianshi2	1	False	1	0	100
10014	Sound/sound_skill_shengwushi_chengjiezitai1	1	False	1	0	100
10015	Sound/sound_skill_shengwushi_chengjiezitai2	1	False	1	0	100
10016	Sound/sound_skill_shengwushi_poxiezhan	1	False	1	0	100
10017	Sound/sound_firebomb	1	False	1	0	100
